Meteric,frechet,frechet,frechet,frechet,frechet,frechet,fde,fde,fde,fde,fde,fde,ade,ade,ade,ade,ade,ade,ade_match,ade_match,ade_match,ade_match,ade_match,ade_match,tc,tc,tc,tc,tc,tc,nDTW,nDTW,nDTW,nDTW,nDTW,nDTW
Model,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR
7,18.424,24.635,25.912,22.345,30.24,27.176,12.338,24.635,25.912,22.345,30.24,24.997,11.646,12.623,15.899,14.697,16.762,18.193,6.089,7.702,6.466,8.599,10.162,9.526,0.625,0.5,0.5,0.5,0.125,0.375,0.593,0.405,0.251,0.416,0.277,0.129
8,11.11,75.541,68.935,36.776,77.585,46.252,11.11,72.704,68.698,36.776,21.923,46.216,3.967,39.007,49.518,21.451,35.192,23.711,1.29,34.498,43.755,16.358,34.577,17.482,0.666,0.5,0.333,0.333,0.333,0.166,0.631,0.137,0.047,0.354,0.341,0.072
11,4.265,18.521,6.76,6.377,12.649,15.051,4.265,18.521,6.76,6.264,12.649,15.051,2.598,5.621,5.414,6.007,8.393,11.031,0.651,3.019,1.995,0.571,2.981,1.93,1.0,0.5,1.0,1.0,1.0,1.0,0.825,0.37,0.343,0.832,0.626,0.54
5,7.406,80.446,22.363,17.524,49.818,55.591,7.406,80.446,22.363,17.524,32.573,55.591,7.021,48.97,12.306,11.99,27.946,25.385,0.757,36.732,4.272,4.398,21.589,19.284,0.833,0.5,0.166,0.666,0.5,0.0,0.748,0.199,0.291,0.417,0.371,0.008
9,16.604,21.212,48.614,43.364,29.221,1.926,16.604,21.212,12.679,2.33,8.748,1.926,5.183,16.593,31.207,25.542,15.926,7.825,2.879,10.22,24.258,24.284,12.863,0.903,1.0,1.0,1.0,0.666,0.333,1.0,0.312,0.142,0.334,0.603,0.589,0.539
4,3.098,17.603,6.267,13.296,13.231,39.344,3.098,17.603,6.267,13.296,13.231,39.344,8.182,5.221,7.622,9.533,11.864,28.359,0.189,1.793,0.638,0.795,0.75,17.246,1.0,0.0,1.0,0.0,0.0,0.0,0.962,0.67,0.851,0.852,0.86,0.0
10,15.531,27.817,49.886,84.8,36.314,93.159,15.531,27.317,49.886,44.218,36.314,91.063,8.894,23.453,35.678,56.042,22.71,75.991,3.498,17.568,18.286,44.442,11.817,54.745,0.666,0.666,0.333,0.333,0.0,0.0,0.588,0.617,0.249,0.242,0.167,0.185
6,34.358,110.41,77.744,95.819,51.593,46.734,34.358,72.634,28.648,46.612,51.593,46.734,18.974,60.346,26.563,35.234,24.467,26.185,8.123,42.879,14.062,25.979,12.707,15.447,0.5,0.5,0.5,0.25,0.5,0.25,0.294,0.002,0.23,0.002,0.112,0.187
12,8.325,29.161,64.659,10.244,70.348,73.357,8.325,29.161,64.659,10.244,70.348,73.357,31.084,32.698,34.966,10.237,40.241,38.222,2.658,13.617,25.725,1.605,30.375,17.587,1.0,0.0,0.0,1.0,0.0,0.0,0.542,0.031,0.0,0.439,0.0,0.0
